reviews,sentiment,aspect,aspect_codes_list,type_product
"thật_sự là sách này rất đáng đọc một lần trong đời đó mọi người ạ . dù là sách kỳ_ảo giả_tưởng nhưng mà các câu_chuyện có mấu nối rất hợp_lý , đọc cứ bị cuống theo á . đọc xong cuốn sách này mà mình rơi cũng khá nhiều nước_mắt đấy không biết có ai giống mình không .",5,"[2, 3]","[2, 3]",0
"đọc phần đầu nội_dung là những mẩu chuyện hơi rời_rạc nhưng càng đọc càng cuốn vì tác_giả đã chắp_nối những câu_chuyện ấy thành một_thể_thống_nhất , đứa tới cái nhìn mới về từng câu_chuyện và con_người . hay . sách đẹp và nội_dung tuyệt_vời",4,[2],[2],0
"mình chú_ý đến sách là vì bìa đẹp và tên sách ấn_tượng . sau khi đọc , mình cảm_thấy đúng như_vậy , nhiều điều kỳ_diệu đã xảy ra ở những khoảng không_gian , thời_gian khác nhau một_cách rất logic . đây là cuốn sách nên đọc và bạn sẽ nhận ra nhiều bài_học cho riêng mình . về dịch_vụ , sách không được đóng_gói kĩ lắm , chỉ cho vào hộp mà không có gì để giảm va_chạm . tuy_nhiên rất may_mắn là sách vẫn nguyên_vẹn .",4,"[1, 2, 4]","[1, 2, 4]",0
"nội_dung cuốn sách này mình rất thích ở thời_điểm hiện_tại . sách giao hàng sớm hơn 1 ngày dự_kiến . sách hơi trầy ở phần gáy sách . hộp đựng sách bị méo ở góc . mình hi_vọng có tấm bọc khí bọc quanh sác để bảo_vệ , chỉ đặt sách vào hộp luôn thì vận_chuyển dễ bị trầy_xước . người giao hàng lần này giao hàng đã tới trước khi mình ra , mình không phải đợi .",5,"[2, 4]","[2, 4]",0
"cũng khá là xoắn não . nhưng cả cuốn sách là 1 sự thống_nhất , đan_xen và các sự_kiện riêng lẽ thật_ra đều có mối liên_kết với nhau . mỗi câu_chuyện hóc_búa đều cho ta góc nhìn nào đấy thực_tế lắm",5,[2],[2],0
"mua tại tiki thì giá khỏi phải bàn rồi , siêu tốt d . dịch_vụ tiếp_nhận đóng giao hàng rất nhanh tốt luôn , ngoại_trừ ở khâu đóng hàng thì tiki nên đầu_tư thêm lớp mút lót bao sách lại cho những người mua như mình an_tâm hơn , may là sách không bị hư_hại gì trong quá_trình vận_chuyển . về nội_dung sách thì mình chưa đọc tới nên chưa đánh_giá được .",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
"sách về sớm hơn thời_gian dự_tính . về phần bề_ngoài thì không có gì để chê cả , sách đẹp , sạch_sẽ , tự thấy bản_thân khá may_mắn vì mua sách ở tiki nhiều nhưng hiếm gặp trường_hợp sách bị lỗi . tác_phẩm của tiên_sinh higashino keigo chưa từng làm tôi thất_vọng , dù cuốn này không thiên về trinh_thám mà là thể_loại kỳ_ảo giả_tưởng . đây là một cuốn khá dễ_thương , nhẹ_nhàng , logic , kỳ_diệu và nhân_văn . có_lẽ đây là cuốn sách tươi_sáng nhất của tiên_sinh , nhưng cũng đầy bất_ngờ .",5,[2],[2],0
"giao hàng siêu siêu nhanh luôn ạ , vừa đặt tối htrc mà sáng sớm hsau đã thấy anh người giao hàng gọi lấy hàng ? không cần nói thêm về chất_lượng vì quá xuất_sắc . chỉ có điều tiki thêm 1 lớp bọc cho sách trc khi đóng_hộp thì tốt biết_bao .",5,"[2, 4]","[2, 4]",0
sách đẹp ạ đây là một trong những cuốn mình rất ấn_tượng với bìa nó còn có một lớp bọc nữa ns chung là rất ưng_nha,5,[2],[2],0
"giao hàng nhanh , đóng_gói kỹ_càng nội_dung đây là cuốn truyện đầu_tiên mình đọc của tác_giả , phải nói là mối liên_kết giữa các nhân_vật được tác_giả thêm_thắt rất hay và bên cạnh đó , câu_chuyện của mỗi người cũng khiến mình đồng_cảm",5,"[2, 4]","[2, 4]",0
"một câu_chuyện dài đáng đọc , hài_hước và nhiều bất_ngờ đến những trang cuối_cùng . rất đáng để đọc , tui đọc xong mới đánh_giá cho chân_thực",5,[2],[2],0
"mình vừa gấp lại trang giấy cuối_cùng và muốn ghi lại những cảm_xúc ấm_áp của hiện_tại . quyển sách thực_sự rất đáng đọc . cách kể chuyện của bác keigo đan_xen rất tài_tình , tưởng không liên_quan mà_lại liên_quan không_tưởng . quá_khứ với hiện_tại đan_xen liên_tục nhưng lại không làm người đọc cảm_thấy khó hiểu . bạn nào đang phân_vân thì hãy mua liền đi nhé .",5,[2],[2],0
"một cuốn cực_kì đáng đọc . tác_giả có cách kể truyện rất lôi_cuốn và sắp_xếp tài_tình khiến mình như được chìm vào trong thế_giới của tiệm tạp_hoá này luôn . tiki giao nhanh , sách mới và đẹp , rất ưng_ý .",5,"[2, 4]","[2, 4]",0
"một cuốn sách thích_hợp để chữa lành cho những ngày quá mỏi_mệt . tác_giả xây_dựng cốt_truyện rất chắc_tay , cách chuyển mạch truyện mới_lạ , thông_điệp sâu_sắc . mình nghĩ ai cũng_nên đọc cuốn sách này 1 lần trong đời .",5,[2],[2],0
"vừa đọc xong thì phải gửi liền đánh_giá , từ những trang đầu_tiên hay đến giữa cuốn sách , mình không nghĩ nó hay lại đến mức rơi nước_mắt ở những trang cuối_cùng , . thật_sự rất hay và đáng đọc . . cảm_ơn tiệm tạp_hoá namiya vì bức thư cuối_cùng ! !",5,"[2, 3]","[2, 3]",0
"truyện hay , nhẹ_nhàng và đọng lại nhiều cảm_xúc , như bị cuốn vào vòng xoáy câu_chuyện vậy",5,[2],[2],0
"hàng đẹp lắm mọi người bìa đẹp , sách dày và mới . nên mua nha",5,[2],[2],0
"quyển sách này đầy bất_ngờ đấy , tin tôi đi ! mở_đầu bằng một tình_huống khá hài_hước , đó là 3 tên trộm bị hư xe và phải kiếm chỗ ẩn_nấp để tránh bị phát_hiện . thực_sự ban_đầu , mình không hiểu sao tác_giả lại chọn 3 tên trộm . nhưng không phải đâu , tất_cả đều có dụng_ý cả đấy . toàn_bộ tác_phẩm được chia thành 5 chương . đọc xong chương 1 , ồ quaoo , có vẻ cuốn_hút đấy , và có cả phần khó hiểu vì không biết tại_sao các lá thư gởi đến tiệm tạp_hoá namiya và từ tiệm gởi đi một_cách kì_lạ như_vậy . nó đến được tiệm , dù có ngồi canh nhưng vẫn không thấy có ai ở ngoài bỏ vào . nó biến mất ở hộp đựng sữa cũng rất kì_bí dù không thấy có ai đến lấy cả . ban_đầu mình còn tưởng truyện kinh_dị gì đấy , nhưng sau mới phát_hiện nó thuộc thể_loại kỳ_ảo giả_tưởng . thực_ra là đọc xong hết , đến bìa cuối_cùng mới thấy được phân_loại sang đến chương 2 và cả các chương tiếp_theo , lại ồ woww , các chương là một câu_chuyện độc_lập , xoay quanh một nhân_vật , một không_gian và thời_gian khác nhau . tinh_hoa của tác_phẩm và sự khéo_léo , tài_hoa của tác_giả nằm ở chính điểm này . các chương truyện dường_như không hề liên_quan đến nhau nhưng thực_ra , đến cuối_cùng lại có một sợi dây kết_nối , liên_quan đến không tưởng_tượng được , thậm_chí , còn có lúc những nhân_vật ở các chương truyện đã từng gặp nhau , ở một chương nào đấy mạch truyện tưởng_chừng_như rời_rạc , nhưng thực_ra rất logic , văn_phong khá hài_hước và hóm_hỉnh . toàn_bộ tác_phẩm hệt như một vòng_tròn khép_kín , đan_xen giữa hiện_tại và tương_lai , giữa những số_phận khác nhau . cú twist ngay cuối câu_chuyện làm 3 tên trộm vỡ oà , và cả chính người đọc cũng vậy . và đến đây , mình mới biết được 3 nhân_vật xuất_hiện từ đầu câu_chuyện không phải là 3 tên trộm hàng thật . chỉ vì một_chút bức_xúc trong lúc có hơi men , và tất_cả đều chỉ vì cái nơi mà cả 3 đã từng gắn_bó trại trẻ marumitsu . với mình , đây là một câu_chuyện đậm chất nhân_văn , nhân_ái với từng nhân_vật trong câu_chuyện . tiệm tạp_hoá namiya thích_hợp để refresh tâm_hồn lắm nha .",5,"[2, 3]","[2, 3]",0
bìa sách siêu xinh . gói hàng cẩn_thận nhưng chắc do quá_trình vận_chuyển mà bị hộp bị móm méo nhưng sách bên trong thì không sao . giao hàng nhanh mik đặt thứ 7 trên đơn ghi thứ 3 giao mà đến thứ 2 đã giao rồi . nội_dung mik cấu_hình đọc nên cấu_hình đánh_giá được,5,"[2, 3, 4]","[2, 3, 4]",0
"bìa sách đẹp , nội_dung chậm không có cao_trào nhưng vẫn rất cuốn . những câu_chuyện trong đó có vẻ riêng_lẻ nhưng lại móc_nối với nhau rất ăn_ý . đáng mua .",5,[2],[2],0
"cực_kỳ hay , lôi_cuốn hấp_dẫn , đi từ_chương này sang chương khác , tới gần cuối thì bất_ngờ sốc hơn nưa , trời ơi thích quá luôn",5,[2],[2],0
"tui thề là nó siêu hay luôn ý . một cuốn sách mà những bạn mới bắt_đầu nên đọc tại vì theo tôi thì nó khá dễ hiểu , nội_dung cũng kiểu hơi_hướng trinh_thám ý . đây là cuốn sách đầu_tiên tôi đọc mà chỉ muốn nó không hết thôi ý . rất rcm cho mọi người luôn nha ! ! 10đỉm",5,[2],[2],0
"truyện mới , giao nhanh . truyện không phải trinh_thám nên đọc không hề căng_thẳng , nội_dung thậm_chí khá dễ_chịu , gây được tò_mò và đúng như phong_cách của keigo , cuối truyện bao_giờ cũng là 1 cú twist đầy bất_ngờ",5,"[2, 4]","[2, 4]",0
"cuốn sách nói về những con_người có liên_quan đến tiệm tạp_hoá namiya ở thời_điểm hiện_tại và quá_khứ 32 năm về trước . ở quá_khứ , ông chủ tiệm tạp_hoá từ việc trả_lời những câu hỏi ngây_ngô của trẻ_con , dần_dần được nhiều nhiều người gửi thư nhờ gỡ_rối những việc rất nghiêm_túc . ở hiện_tại , 3 thanh_niên sa_cơ_lỡ vận đi ăn_trộm tình_cờ ở qua đêm trong tiệm tạp_hoá đã bỏ_hoang . cũng rất tình_cờ , thư gửi ở thời_điểm hiện_tại được chuyển đến tiệm tạp_hoá trong quá_khứ và ngược_lại , đồng_thời được người của thời_điểm đó nhận và trả_lời . số_phận của một_số người đã được thay_đổi nhờ những lời khuyên từ những lá thư trả_lời đó . kì_diệu thay , dù lá thư được viết bởi người từ quá_khứ hay hiện_tại , chúng đều có mối liên_quan chặt_chẽ với nhau và trở_thành một phần của lịch_sử . truyện đọc hay , cảm_động , nhiều chi_tiết vỡ oà khi biết được mối quan_hệ giữa các nhân_vật tưởng_chừng không có điểm chung gì , trừ việc thông_qua tiệm tạp_hoá namiya . xứng_đáng là một trong những tuyệt tuyệt_tác .",5,"[2, 3]","[2, 3]",0
"tiki giao hàng khá nhanh , đóng_gói hàng cẩn_thận . mình cực thích các yếu_tố kỳ_ảo nên mình rất ưng quyển sách này , nội_dung tưởng_chừng_như rời_rạc nhưng lại rất liên_quan với nhau , mình đã đọc 1 lèo cả buổi chiều . mình đặt mua luôn khu vườn mùa hạ và khu vườn bí_mật , ta nói nó đọc phê gì đâu luôn á ?",5,"[2, 4]","[2, 4]",0
"về nội_dung thì chưa đọc nhưng nghe đánh_giá có vẻ hay . sách hơi móp méo phần góc phía trên do giao hàng , cũng chấp_nhận được . tiki giao nhanh dù đang mùa dịch .",5,"[2, 4]","[2, 4]",0
"gần đây đọc 1 số nhận_xét về chất_lượng của tiki chỉ 1 sao thì mình cũng lo_lắng lắm . nhưng thật may vì khi giao hàng đến , sách vẫn được đóng_gói cẩn_thận và không hề bị nhăn bìa và cong mép sách . sách cũng mới_cứng và không hề bị tổn_thương gì luôn . quả_nhiên tin_tưởng tiki không hề sai ?",5,"[2, 4]","[2, 4]",0
"cảm_nhận của mình về cuốn top mua của tiki đây là cuốn mà khi bắt_đầu_đọc là mình đọc liên_tục 7 tiếng cho đến khi xong thì thôi . cuốn này viết về các câu truyện rời_rạc nhưng khi đọc biết chắc là chúng_nó có liên_hệ với nhau nên phải đọc cho xong xem là nó liên_kết lại như thế_nào . diễn_biến diễn ra liên_tục khó đoán nên hấp_dẫn . tác_giả xâu_chuỗi và liên_kết các sự_kiện rất hợp_lý và chặt_chẽ nên đọc không chán . nội_dung thì thông_qua câu truyện tác_giả viết ra những trăn_trở của những người trẻ về tình_yêu , gia đinh và sự_nghiệp . tự người đọc cảm_nhận thông_qua câu truyện của nhân_vật . bức thư cuối_cùng rất hay , là lời phản_hồi cho một bức thư trắng không có nội_dung giống như những người đang không biết mục_tiêu của mình là gì , đi từ đâu và bắt_đầu như thế_nào . chắc bức thư này cũng gửi_gắm cho người đọc , những người đang trong tình_trạng như_vậy . p s nếu ai có thời_gian rảnh thì có_thể đọc cuốn này , nó cũng có những đoạn rất buồn . không phải câu truyện nào cũng có happy ending nên nó thực_tế",5,"[1, 2, 3]","[1, 2, 3]",0
"co đôi chu t cu ơ va i quyê n , nhưng giao nhanh trong nga y . chưa đo c nhưng nhi n bi_a vơ i đo ng go i thi thâ y châ t lươ ng râ t ưng y !",5,"[2, 4]","[2, 4]",0
"đã có hàg , quyển new , gói kỹ càg , kỹ_lưỡng , có bìa bookcare nên sản_phẩm không bị va khi vc không méo hay bị lỗi gì hết . có bọc cả màn bọc túi ở trong . người giao hàng tận tìh , hàg nhanh về , 10 10 . cảm_ơn shop !",5,"[2, 4]","[2, 4]",0
lâu lắm rồi mình không đọc tiểu_thuyết . nhưng đọc xong cuốn này cảm_giác còn lại chỉ là sự cảm_kích . những số_phận đan_xen với nhau được sắp_xếp một_cách tài_tình để truyền_tải thông_điệp của cuộc_sống ... .,5,"[2, 3]","[2, 3]",0
"tiki giao hành nhanh , anh người giao hàng rất nhiệt_tình và chu_đáo ! đóng_gói và bọc bookcare cẩn_thận , quyển sách mình nhận còn mới_tinh không hề có một vết xước , về phần nội_dung thì lôi_cuốn và logic đến mức ...",5,"[1, 2, 4]","[1, 2, 4]",0
gói hàng cẩn_thận lắm nha . lần đầu đặt sách ở tiki mà ưng cực_kì . ai mới đọc sách thì siêu rcm cuồn sách này nha . nội_dung ý_nghĩa mà healing nữa,5,"[2, 4]","[2, 4]",0
"sách có nội_dung hay , giao hàng nhanh , thiết_kế đẹp . mik khuyên mọi người nên đọc cuốn này vì nó rất hay , có trinh_thám và nhiều khái_niệm về thời_gian nên hơi dễ rối . nếu mọi người đọc nhiều lần thì ...",5,"[2, 4]","[2, 4]",0
"sách xinh , nhưng đóng_gói tuy bảo_vệ môi_trường không có màng bọc bằng ninon là tốt nhưng quá sơ_sài khiến gáy 2 quyển sách bị hỏng , đây là ảnh kiện hàng ngay lúc mình mở ra",5,"[2, 4]","[2, 4]",0
quyết_định mua vì trên goodreads đánh_giá tốt và nhận nhiều phản_hồi tích_cực từ người đọc trên,5,"[1, 2, 3]","[1, 2, 3]",0
"giao hàng nhanh , đóng_gói kĩ . nội_dung mọi người đọc tự_cảm_nhận , riêng mình thì cốt_truyện khá hay , nhưng câu văn được dịch lại không hiểu sao thấy chưa được trau_chuốt cho lắm , nhưng để đọc giải_trí ...",5,"[2, 4]","[2, 4]",0
"mình chưa đọc tới , nhưng hình_thức đẹp và đơn_giản , rất nhật d sách cũng khá to , nên có vẻ dễ đọc . tiki giao hàng rất nhanh đang giãn cách xh mình tưởng lâu lắm mới tới , ai dè 2 ngày là giao rùi .",5,"[2, 4]","[2, 4]",0
cuốn này nghe đánh_giá nhưng chưa đọc bìa đẹp nên mua,5,[2],[2],0
"mình đã đọc xong cuốn sách . sách đã đưa mình đi từ bất_ngờ này đến bất_ngờ khác bằng những nhân_vật , sự_kiện đều liên_kết với nhau và mình gần như vỡ oà . cảm_ơn tác_giả và nxb",5,[2],[2],0
"sách mới , vì mình dùng tiki now nên trong mùa dịch không bị delay , rất hài_lòng ạ",5,[2],[2],0
"bất_ngờ tưởng trừng như những câu_chuyện riêng rẻ nhưng lại có một sự liên_kết mật_thiết với nhau , như một dòng_chảy xuyên xuất . sách mỏng nên đọc cũng nhanh lắm mang đến nhiều cảm_nhận và bài_học khi đọc xong .",5,"[2, 3]","[2, 3]",0
sách mới đẹp lắm . truyện này thuộc top hot của tác_giả nên mua đọc .,5,[2],[2],0
"sách đẹp lắm và còn mới nx mình cực_kì thích chất_liệu giấy bên trong , mịn cực_kì , màu hơi vàng nx giúp chống mỏi_mắt khi đọc mình đặt hôm trước và hôm sau đã có hàng rồi",4,[2],[2],0
"nội_dung hấp_dẫn , lôi_cuốn , màu in rõ nét",5,[2],[2],0
"sách không bọc seal nên hơi bụi ở ngoài và bìa nhìn hơi xước nhưng cũng không có vấn_đề gì , nhìn xa trông vẫn ok . mà giao hàng nhanh lắm luôn 1h sáng mình đặt mà 3h chiều người giao hàng gọi rồi chỗ mình ở bth nhanh cũng 2 3 ngày mới nhận được hàng cơ",5,"[2, 4]","[2, 4]",0
"cuốn sách có bìa xanh đẹp . về tổng_thể sách không bị ảnh_hưởng quá nhiều trong quá_trình vận_chuyển , sẽ thích hơn nếu em nó có một chiếc bao dù mỏng ở ngoài ạ .",5,"[2, 4]","[2, 4]",0
"tốt , không móp , rách , sac",5,[2],[2],0
nội_dung hấp_dẫn thú_vị in_ấn sắc nét rõ_ràng giao hàng nhanh,5,"[2, 4]","[2, 4]",0
"trước hồi ở bên nhật mình cũng đọc qua bản tiếng nhật rồi . giờ về mua lại bản tv đọc cũng thấy dịch khá hay và sát ý của tác_giả . mà truyện của bác keigo thì hay khỏi pải bàn rồi cửa_hàng giao hàng nhanh , nếu được kèm thêm bookmark nữa thì 10đ",5,"[2, 4]","[2, 4]",0
"cuốn sách hay nhất mình từng đọc . đọc từng dòng từng chữ , dẫn_dắt người đọc từ bất_ngờ này tới bất_ngờ khác . đọc xong mọi người có_thể đọc kiếp nào mình cũng tìm thấy nhau",5,[2],[2],0
"mình mua 2 quyển sách đều được đóng_gói kỹ_càng , giao hàng nhanh",5,[4],[4],0
"quyển sách nhẹ_nhàng , cb có_thể đọc hết trong thời_gian ngắn . nhưng tác giải sắp_xếp thời_gian , nhân_vật rất đỉnh . tiki giao hàng siêu nhanh . mình đặt_hàng thì sang hôm sau đã có . cảm_ơn tiki , cảm_ơn ...",5,"[2, 4]","[2, 4]",0
quyển sách được nhiều người khen . mình hóng sách về để đọc . tiki giao hàng nhanh và đúng hẹn,5,[4],[4],0
sách giao tận nơi chỉn_chu đẹp . người giao hàng rất có trách_nhiệm thân_thiện,5,"[2, 4]","[2, 4]",0
"dịch_vụ tiki khá ổn rate 5 5 dù mình mới chỉ đọc sách được gần một năm thôi , nhưng mình đã nghe danh higashino keigo rất nhiều lần . mình thắc_mắc là tại_sao người ấy lại nổi_tiếng như_vậy , được nhiều ...",5,"[1, 2]","[1, 2]",0
"mua ngay đợt tiki giảm nên giá rẻ , sách đẹp , nội_dụng hay",5,"[2, 3]","[2, 3]",0
"đóng_gói cẩn_thận , giao hàng siêu nhanh .",5,[4],[4],0
"giao hàng siêu nhanh , đặt từ đêm_hôm trước trưa hôm sau đã giao . hộp giao còn nguyên_vẹn , sách bên trong được bọc seal cẩn_thận , lần này còn được nhét giấy để chống sóc nữa . nói_chung tuyệt_vời .",5,"[2, 4]","[2, 4]",0
"cốt_truyện thú_vị , nhẹ_nhàng đưa người đọc đi qua những câu_chuyện cuộc_đời khác nhau . tựu chung lại đều xoay quanh những nhân_vật với bản_chất hướng_thiện . kết truyện khá bất_ngờ với sự giao_thoa của quá_khứ và hiện_tại , giúp tăng thêm niềm tin , sự bình_yên , tươi đẹp trong cuộc_sống , con_người . 8.5 10đ",5,"[2, 4]","[2, 4]",0
"sách đẹp , dịch mượt , bìa in đẹp lắm luôn . giao hàng nhanh ngay trước tết . vì mình không để_ý điện_thoại nên anh người giao hàng phải gọi vài lần mình mới nhấc máy nhưng anh ý không hề tức_giận . riêng người giao hàng như vậy mình sẵn_sàng cho 6 sao đóng_gói cũng ổn , dù hộp móp méo nhưng sách bên trong vẫn còn nguyên . trải nghiệm mua hàng vẫn tốt như mọi lần ! !",5,"[2, 4]","[2, 4]",0
"cảm_ơn tiki . gao hàng nhanh , sách được bọc cẩn_thận . đây là cuốn mà aespa karina giới_thiệu nên mình đã mua đọc thử , hy_vọng sẽ là một cuốn sách hay .",5,[2],[2],0
"tiki vẫn giao hàng siêu nhanh luôn ạ , nhưng mà sách giao chưa được đóng_gói cẩn_thận lắm . thế nên sách hơi xước vẫn có_thể chấp_nhận được",5,"[2, 4]","[2, 4]",0
"truyện nên đọc nhé , các tình_tiết liên_quan đến nhau , plot twist nữa . các bức thư phản_ánh nhiều vấn_đề trong đời_sống . một trong những quyển nằm đầu giường của mình",5,[2],[2],0
"mình viết cái này có_lẽ là sau khi đọc xong hết cuốn sách . phải thú_thật rằng sách rất cuốn , nội_dung nhẹ_nhàng nhưng rất hay . mỗi chương tưởng_chừng_như sẽ chẳng liên_kết nhau nhưng lại gắn với nhau khó tả , cách diễn_đạt cũng rất thú_vị đối_với mình khi lần đầu_tiên đọc tác_phẩm này , xen_kẽ những cảm_xúc khác nhau . mỗi một sự_kiện đối_với tuỳ người mà cho ta một bài_học và giá_trị khác nhau . xét cho_cùng thì đây là cuốn sách lần đầu_tiên khiến mình ưng nhất vì mình đã từng đọc nhiều sách nhưng chưa có sách nào cuốn mình từ đầu trang đến hết quyển như_vậy , đọc tù tì đến 6 7 tiếng . dịch_vụ giao hàng nhanh , mình không_tưởng rằng sẽ được nhận ngay ngày hôm sau đặt đâu !",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
"giao sớm hơn dự_kiến 3 ngày , sách được bọc cẩn_thận không bị móp méo gì hết",5,[4],[4],0
"một trong những quyển sách yêu thích của mình . hồi_hộp , nhân_văn , xúc_cảm và bất_ngờ , mình như bị dắt đi đến những tình_tiết không_thể ngờ được . mình mua quyển thứ hai để tặng bạn đây , và luôn giới_thiệu cho những ai đang không biết nên mua gì tiki giao hàng rất nhanh , sách mới không cong hay móp gì cả , rất hài_lòng",5,"[2, 4]","[2, 4]",0
"trước đây mình có đọc một_số tác_phẩm trinh_thám có tiếng của tác_giả khác nhưng có vẻ không hợp , chỉ đến khi đọc sách bác keigo mình mới lấy lại cảm_giác cầm sách lên và không_thể bỏ xuống hôm nào anw another must read book không nên bỏ lỡ nha .",5,"[2, 3]","[2, 3]",0
cũng tốt nha chỉ là mình thấy mùi sách này không thơm thui chứ chất_lượng cũng sương sương ổn đấy,5,[2],[2],0
"đóng hàng đẹp , giao hàng nhanh , sách mới",5,"[2, 4]","[2, 4]",0
"một nhà tư_vấn tâm_lý bất_đắc_dĩ với những bức thư xoa_dịu tâm_hồn một_cách lạ_lùng đã đem đến biết_bao đều kỳ_diệu cho người khác , các nhân_vật câu_chuyện rời_rạc nhau lại có một liên_kết chặt_chẽ không ngờ , mốc thời_gian thay_đổi liên_tục nhưng bám chắc mạch chuyện . phải nói bác keigo xây_dựng tình_huống quá đỉnh .",5,"[1, 2]","[1, 2]",0
"sách mới_cứng , được bọc cẩn_thận . giao hàng nhanh lắm ạ . mua làm_quà tặng rất ưng ạ . tiki lại 1 lần nữa không làm mình thất_vọng",5,"[2, 4]","[2, 4]",0
"nhân_văn và giàu ý_nghĩa . một cuốn sách du hành thời_gian rất cuốn_hút . 358 trang đọc không hề muốn ngơi_nghỉ . có đoạn bạn sẽ bật cười vì sự ngô_nghê đáng yêu của 3 tên trộm . có đoạn bạn sẽ thấy xúc_động rưng_rưng . bố_cục tự_nhiên mạch_lạc , đan_xen các tình_tiết khiến bạn bị thôi_thúc phải đi tìm câu trả_lời đến cuối . vài sự_kiện lịch_sử văn_hóa được lồng_ghép rất thú_vị . một_chút thách_thức dòng suy_tưởng , đi tìm tính logic . tác_giả có_lẽ bị ám_ảnh vì căn_bệnh ung_thư hay ông đã cạn_kiệt ý_tưởng khi muốn đề_cập đến cái chết già ! ! tôi mua sách tại tiki trading với giá gần 70 ngàn . giao đúng hẹn và đóng_gói kỹ_càng .",5,"[2, 3, 4]","[2, 3, 4]",0
"sách thì mua tiki chưa bao_giờ gặp trường_hợp bị làm_sao cả luôn , nội_dung thì với mình đây là thể_loại kỳ_ảo hay nhất mình từng đọc . mình sướng_rơn vì sự logic , những chi_tiết bất_ngờ mà mình không ngờ trước , gấp lại quyển sách mà thấy mãn_nguyện , sởn da_gà . nói_chung là hay , nên đọc không phí đâu các bạn . rating 4,5 5 hôm_nay là ngày 13 9 , ai đã đi gửi thư chưaa",5,[2],[2],0
"giao hàng khá nhanh , bọc kĩ mình không sử_dụng giấy tô màu_nước nhiều nhưng sờ thử thì khác thích tay",5,"[2, 4]","[2, 4]",0
"điểm trừ là không có bọc ngoài , may là sách nhìn còn mới , săn sale mua với giá hời nên thích lắm .",5,"[2, 3]","[2, 3]",0
bọc sách ngoài bằng túi khá tốt không móp cuốn này nhưbg móp các cuốn khác tiki nên bọc chống sốc chứ để như vâyk vận_chuyển thực_sự tới tay rất chán rẻ thig cũng kp rẻ nhưng tiki luôn lỗi ở khâu đóng_gói,5,"[2, 3, 4]","[2, 3, 4]",0
giao nhanh . nội_dung nghe đánh_giá là khá cuốn,5,"[2, 4]","[2, 4]",0
"bìa đẹp , nội_dung lúc đầu_đọc không liên_quan gì nhau hết nhưng mà kiểu nào cũng sẽ có một tình_tiết nào đó để liên_kết lại",5,[2],[2],0
"sách đóng_gói kĩ , nội_dung khá nhẹ_nhàng nhưng cũng rất thu_hút . các nhân_vật đều có một vai_trò nhất_định và liên_kết với nhau chặt_chẽ . văn_phong lôi_cuốn . 100 recommend nhé",5,"[2, 4]","[2, 4]",0
"truyện hay và đáng đọc , truyện thiên về tâm_lí hơn là truyện trinh_thám , các tình_tiết đan_xen giữa hiện_tại và quá_khứ , những sự_kiện liên_quan với nhau dù tuy có vẻ rời_rạc . hãy sống và chia_sẻ với nhiều người , rồi chính bạn cũng nhận được nhiều thứ . sách dày và đẹp , mua sale nên hài_lòng 5sao",5,"[2, 3]","[2, 3]",0
"sách thật_sự rất tuyệt , cuốn thật_sự luôn . mỗi chương đều có mối liên_kết với nhau , không chỉ vậy còn mang nhiều cảm_xúc , tâm_tư , nỗi trăn_trở của từng nhân_vật , rất đáng đọc nhee . còn về sản_phẩm đóng_gói ra sao thì mình cũng quên mất , hình_như không có bọc kính ngoài nhưng còn lại thì chất_lượng nhé !",5,"[2, 4]","[2, 4]",0
"giao hàng hơi lâu bởi_vì tôi đặt từ tháng 8 . nhưng mà khi giao đến thì sách khá là đẹp , bìa vẫn bình_thường , không bị rách hay hư_hại gì cả . có điều sách hơi mỏng so với toi tưởng_tượng . tôi không phải là một người đánh_giá chuyên_nghiệp , bình_thường đọc truyện thì thấy truyện nào cũng hay hết . tôi mua truyện thường xét theo tiêu_chí tên hay , bìa đẹp . và tôi mua sẽ để rất lâu không đọc , nhưng lần này khi mà đọc trang đầu_tiên , tôi đã đọc một_mạch đến hết truyện . trình_tự của câu_chuyện này khá thú_vị , nội_dung khá mới_mẻ đối_với tôi . trình_tự đi từ hiện_tại đến quá_khứ rồi lại quay về hiện_tại rồi lại đến quá_khứ , nói_chung là hiện_tại và quá_khứ đan_xen , nhưng lại không hề khó hiểu , các nhân_vật đều có sự liên_kết với nhau , càng đọc , càng hiểu ra được nhiều . đến cuối truyện , bạn sẽ có cảm_giác lời tư_vấn cuối_cùng giống như là dành cho bản_thân vậy . theo tôi thì đây là một truyện khá nhẹ_nhàng , ngoại_trừ thời_gian hơi khó hiểu thì đây là một quyển truyện tuyệt_vời để đọc và cảm_nhận .",5,"[1, 2, 3, 4]","[1, 2, 3, 4]",0
